bucket,request_count,time_index,predicted,residual,residual_z,is_ddos
2024-03-22 18:21:00+04:00,878,21.0,2062.870386039133,-1184.8703860391329,-0.39860394312242564,False
2024-03-22 18:22:00+04:00,558,22.0,2017.7973558963513,-1459.7973558963513,-0.49109251870588877,False
2024-03-22 18:23:00+04:00,1132,23.0,1972.7243257535695,-840.7243257535695,-0.28282927421670534,False
2024-03-22 18:24:00+04:00,808,24.0,1927.6512956107879,-1119.6512956107879,-0.3766634955275629,False
2024-03-22 18:25:00+04:00,375,25.0,1882.5782654680063,-1507.5782654680063,-0.5071665629099176,False
2024-03-22 18:26:00+04:00,538,26.0,1837.5052353252247,-1299.5052353252247,-0.437168416910508,False
2024-03-22 18:27:00+04:00,879,27.0,1792.432205182443,-913.4322051824431,-0.30728903604204794,False
2024-03-22 18:28:00+04:00,1162,28.0,1747.3591750396615,-585.3591750396615,-0.19692151822080656,False
2024-03-22 18:29:00+04:00,1138,29.0,1702.28614489688,-564.2861448968799,-0.18983230997708475,False
2024-03-22 18:30:00+04:00,1148,30.0,1657.2131147540983,-509.21311475409834,-0.1713051130505106,False
2024-03-22 18:31:00+04:00,627,31.0,1612.1400846113168,-985.1400846113168,-0.33141238643554194,False
2024-03-22 18:32:00+04:00,732,32.0,1567.0670544685352,-835.0670544685352,-0.280926103483351,False
2024-03-22 18:33:00+04:00,637,33.0,1521.9940243257536,-884.9940243257536,-0.29772210690087964,False
2024-03-22 18:34:00+04:00,797,34.0,1476.920994182972,-679.920994182972,-0.2287331951970158,False
2024-03-22 18:35:00+04:00,1187,35.0,1431.8479640401904,-244.8479640401904,-0.08236965416797443,False
2024-03-22 18:36:00+04:00,844,36.0,1386.7749338974088,-542.7749338974088,-0.18259569268395537,False
2024-03-22 18:37:00+04:00,591,37.0,1341.7019037546272,-750.7019037546272,-0.25254470233356247,False
2024-03-22 18:38:00+04:00,593,38.0,1296.6288736118456,-703.6288736118456,-0.2367087968617771,False
2024-03-22 18:39:00+04:00,545,39.0,1251.555843469064,-706.555843469064,-0.23769346298242164,False
2024-03-22 18:40:00+04:00,997,40.0,1206.4828133262824,-209.48281332628244,-0.07047241317876718,False
2024-03-22 18:41:00+04:00,1174,41.0,1161.4097831835008,12.59021681649915,0.0042354928665228235,False
2024-03-22 18:42:00+04:00,1096,42.0,1116.3367530407193,-20.33675304071926,-0.006841516209579646,False
2024-03-22 18:43:00+04:00,990,43.0,1071.2637228979377,-81.26372289793767,-0.02733804537744286,False
2024-03-22 18:44:00+04:00,1188,44.0,1026.190692755156,161.80930724484392,0.0544345007366677,False
2024-03-22 18:45:00+04:00,1408,45.0,981.1176626123745,426.8823373876255,0.14360809835144742,False
2024-03-22 18:46:00+04:00,1321,46.0,936.0446324695927,384.95536753040733,0.12950338638870765,False
2024-03-22 18:47:00+04:00,1088,47.0,890.9716023268111,197.02839767318892,0.0662826053760725,False
2024-03-22 18:48:00+04:00,566,48.0,845.8985721840295,-279.8985721840295,-0.09416107944080747,False
2024-03-22 18:49:00+04:00,265,49.0,800.8255420412479,-535.8255420412479,-0.18025783781914728,False
2024-03-22 18:50:00+04:00,217,50.0,755.7525118984663,-538.7525118984663,-0.18124250393979183,False
2024-03-22 18:51:00+04:00,432,51.0,710.6794817556847,-278.6794817556847,-0.09375096348425509,False
2024-03-22 18:52:00+04:00,569,52.0,665.6064516129031,-96.60645161290313,-0.03249951471290899,False
2024-03-22 18:53:00+04:00,624,53.0,620.5334214701215,3.4665785298784613,0.0011661966468520684,False
2024-03-22 18:54:00+04:00,840,54.0,575.46039132734,264.53960867266005,0.08899414853423739,False
2024-03-22 18:55:00+04:00,1087,55.0,530.3873611845584,556.6126388154416,0.18725085480892925,False
2024-03-22 18:56:00+04:00,1169,56.0,485.31433104177677,683.6856689582232,0.22999967482860245,False
2024-03-22 18:57:00+04:00,1238,57.0,440.2413008989952,797.7586991010048,0.26837514623424386,False
2024-03-22 18:58:00+04:00,863,58.0,395.1682707562136,467.8317292437864,0.15738394189910782,False
2024-03-22 18:59:00+04:00,626,59.0,350.095240613432,275.904759386568,0.09281751515907827,False
